search_key,job_name,company_name,job_location,location,post_time,salary,others,skills
data analyst,Data Analyst – Digital Analytics,Softrams,"Washington, DC (Remote)","Washington, DC",2 days ago,0,"['Remote', 'Full-time', 'Mid-Senior level']","['Application Development', 'Business Systems', 'Business Systems Analysis', 'Data Analysis', 'Data Analytics', 'Data Science', 'Public Trust', 'Statistical Analysis', 'Systems Analysis', 'Web Analytics']"
data analyst,"Business Data Scientist, Measurement, Insights and Impact, Mastery",Google,"New York, NY (On-site)","New York, NY",3 weeks ago,0,"['On-site', 'Full-time']","['A/B Testing', 'Computer Science', 'Cross-functional Collaborations', 'Data Science', 'Deep Learning', 'Go-to-Market Strategy', 'Key Performance Indicators', 'Measurements', 'Product Launch', 'Statistics']"
data analyst,Data Analyst,Coinbase,"Portland, OR","Portland, OR",1 week ago,0,"['Full-time', 'Mid-Senior level']","['Analytics', 'Communication', 'Data Analytics', 'Data Science', 'Data Visualization', 'Oral Communication', 'Statistical Inference', 'Statistics', 'Strategic Thinking', 'Visualization']"
data analyst,Data Analyst,Oakland University,"Rochester, MI (On-site)","Rochester, MI",Reposted 2 weeks ago,0,"['On-site', 'Full-time', 'Associate']","['Analytical Skills', 'Communication', 'Computer Information Systems', 'Data Analysis', 'Data Analytics', 'Data Science', 'Databases', 'Mathematics', 'Presentations', 'Training Presentations']"
data analyst,Data Analyst – Digital Analytics,Softrams,"Fort Lauderdale, FL (Remote)","Fort Lauderdale, FL",2 days ago,0,"['Remote', 'Full-time', 'Mid-Senior level']","['Application Development', 'Business Systems', 'Business Systems Analysis', 'Data Analysis', 'Data Analytics', 'Data Science', 'Public Trust', 'Statistical Analysis', 'Systems Analysis', 'Web Analytics']"
data analyst,Business Intelligence Analyst II,Memorial Sloan Kettering Cancer Center,"New York, NY (Hybrid)","New York, NY",2 weeks ago,0,"['Hybrid', 'Full-time']","['Analytics', 'Dashboards', 'Data Analytics', 'Data Architecture', 'Data Modeling', 'Data Science', 'Data Visualization', 'Databases', 'Functional Specifications', 'Relational Databases']"
data analyst,Data Analyst,Kelly,"Spring House, PA (On-site)","Spring House, PA",1 day ago,0,"['On-site', 'Full-time', 'Associate']","['Computer Literacy', 'Computer Science', 'Dashboards', 'Data Analysis', 'Data Analytics', 'Data Modeling', 'Data Science', 'Data Visualization', 'Databases', 'Problem Solving']"
data analyst,Data Analyst Labor,The Home Depot,"Atlanta, GA (On-site)","Atlanta, GA",1 month ago,0,"['On-site', 'Full-time']","['Analytical Skills', 'Analytics', 'Communication', 'Data Analytics', 'Data Visualization', 'Google BigQuery', 'Mathematics', 'Oral Communication', 'Query Writing', 'SQL']"
data analyst,"Consultant, Research and Analytics",Blue Cross Blue Shield Association,"Chicago, IL (Hybrid)","Chicago, IL",1 week ago,0,"['Hybrid', 'Full-time', 'Entry level']","['Analytics', 'Communication', 'Data Manipulation', 'Health Policy', 'Presentations', 'Quantitative Data', 'Quantitative Research', 'SAS (Software)', 'Secondary Research', 'Visualization']"
data analyst,Quantitative Finance Analyst,Bank of America,"Jersey City, NJ","Jersey City, NJ",Reposted 3 days ago,"$88,800/yr - $150,000/yr (from job description)","['$88.8K/yr - $150K/yr', 'Full-time', 'Entry level']","['Business Requirements', 'Credit Risk Management', 'Financial Consolidation', 'Front Office Operations', 'Market Risk', 'Model Risk', 'Quantitative Analytics', 'Reporting Requirements', 'Risk Appetite', 'Stress Testing']"
data analyst,Business Intelligence Analyst,Welltower™ Inc. (NYSE:WELL),"Dallas, TX","Dallas, TX",Reposted 2 weeks ago,0,"['Full-time', 'Entry level']","['Analytics', 'Communication', 'Computer Science', 'Data Analytics', 'Data Modeling', 'Data Quality Assurance', 'Data Science', 'Data Visualization', 'QlikView', 'Reporting Requirements']"
data analyst,Business and Data Analyst - The Task Force for Global Health,Emory University,"Atlanta, GA","Atlanta, GA",1 week ago,0,"['Full-time', 'Mid-Senior level']","['Business Analysis', 'Business Process', 'Data Analytics', 'Documentation', 'Neglected Tropical Diseases', 'Product Requirements', 'Reporting Requirements', 'System Requirements', 'Task Force', 'Tropical Diseases']"
data analyst,Data Analyst II,GM Financial,"Irving, TX (Hybrid)","Irving, TX",Reposted 2 weeks ago,0,"['Hybrid', 'Full-time', 'Mid-Senior level']","['Analytical Skills', 'Analytics', 'Communication', 'Data Analytics', 'Data Collection', 'Data Integrity', 'Data Science', 'Data Validation', 'Data Visualization', 'Training Material']"
data analyst,Data Analyst,City National Bank,"New York, NY (Hybrid)","New York, NY",6 days ago,"$87,027/yr - $138,965/yr (from job description)","['$87K/yr - $139K/yr', 'Hybrid', 'Full-time']","['Analytics', 'Data Analysis', 'Data Analytics', 'Data Flow', 'Data Preparation', 'Data Profiling', 'Data Visualization', 'Data-flow Diagrams', 'ERD', 'Flow Diagrams']"
data analyst,Business Intelligence Analyst,Addison Group,"Nashville, TN (Hybrid)","Nashville, TN",4 weeks ago,"$115,000/yr - $130,000/yr","['$115K/yr - $130K/yr + Bonus', 'Hybrid', 'Full-time', 'Mid-Senior level']","['Data Analytics', 'Data Engineering', 'Data Extraction', 'Python (Programming Language)', 'Snowflake', 'Snowflake Cloud']"
data analyst,Data Analyst – Digital Analytics,Softrams,"Phoenix, AZ (Remote)","Phoenix, AZ",2 days ago,0,"['Remote', 'Full-time', 'Mid-Senior level']","['Application Development', 'Business Systems', 'Business Systems Analysis', 'Data Analysis', 'Data Analytics', 'Data Science', 'Public Trust', 'Statistical Analysis', 'Systems Analysis', 'Web Analytics']"
data analyst,Data Analyst Assoc Manager - Enterprise Data Foundation,PepsiCo,"Plano, TX (On-site)","Plano, TX",1 week ago,0,"['On-site', 'Full-time', 'Mid-Senior level']","['Business Requirements', 'Data Analytics', 'Data Architecture', 'Data Models', 'Data Profiling', 'Data Quality', 'Data Visualization', 'Data-flow Diagrams', 'Datasets', 'Flow Diagrams']"
data analyst,Insights Analyst,Campbell's,"Camden, NJ","Camden, NJ",Reposted 1 week ago,0,"['Full-time', 'Mid-Senior level']","['Analytical Skills', 'Analytics', 'Communication', 'Creative Problem Solving', 'Data Analytics', 'Data Science', 'Data Visualization', 'Presentations', 'Problem Solving', 'Thought Leadership']"
data analyst,Analytics and Insights Analyst,Pearson,"Salt Lake City, UT","Salt Lake City, UT",51 applicants,"$70,000/yr - $75,000/yr (from job description)","['$70K/yr - $75K/yr', 'Full-time']","['Business Insights', 'Communication', 'Data Quality', 'Glossaries', 'Google BigQuery', 'Organization Skills', 'Pivot Tables', 'Product Data Management (PDM)', 'Requirements Gathering', 'Sales and Marketing']"
