search_key,job_name,company_name,job_location,location,post_time,salary,others,skills
marketing,Manager Marketing-Public Relations (Hybrid),Baylor Scott & White Health,"Dallas, TX (On-site)","Dallas, TX",Over 100 applicants,0,"['On-site', 'Full-time', 'Mid-Senior level']","['Branding', 'Campaigns', 'Communication', 'Direct Mail Marketing', 'Executive Visibility', 'Marketing Materials', 'Marketing Strategy', 'Media Relations', 'Public Relations', 'Regional Marketing']"
marketing,Marketing Automation Specialist,Robert Half,United States (Remote),United States,2 weeks ago,$45/hr - $65/hr,"['$45/hr - $65/hr', 'Remote', 'Part-time', 'Mid-Senior level']","['A/B Testing', 'Digital Marketing', 'Email Analytics', 'Email Marketing', 'Email Marketing Software', 'Email Strategy', 'Emarsys']"
marketing,Creative Project Assistant Manager (Visual Merchandising Graphic Designer),Cartier,"New York, NY (Hybrid)","New York, NY",2 weeks ago,0,"['Hybrid', 'Full-time', 'Associate']","['Adobe Illustrator', 'Adobe Photoshop', 'Brand Identity', 'Campaign Concepts', 'Catalogue Design', 'EPS', 'Iconography', 'Photography', 'Renovation', 'Visual Merchandising']"
marketing,Content Marketing Strategist,Valley Bank,"Morristown, NJ (Hybrid)","Morristown, NJ",Over 100 applicants,"$61,100/yr - $103,000/yr","['$61.1K/yr - $103K/yr', 'Hybrid', 'Full-time', 'Mid-Senior level']","['Content Marketing', 'Content Strategy', 'Copywriting', 'Digital Marketing', 'Editing', 'Executive Presentations', 'Marketing Campaign Plans', 'Presentations', 'Search Engine Optimization (SEO)', 'Storytelling']"
marketing,Marketing Communications Specialist I,University of Central Florida,"Orlando, FL (On-site)","Orlando, FL",1 day ago,0,"['On-site', 'Full-time', 'Entry level']","['Art Gallery', 'Event Marketing', 'Market Planning', 'Marketing Communications', 'Media Representation', 'Online Advertising', 'Social Media Optimization (SMO)', 'Strategic Communications', 'Writing', 'iMovie']"
marketing,Growth Marketing,Priority Crypto,United States (Remote),United States,1 week ago,"$50,000/yr - $120,000/yr","['$50K/yr - $120K/yr', 'Remote', 'Full-time', 'Associate']","['Analytics', 'Blockchain', 'Campaigns', 'Communication', 'Content Creation', 'Growth Marketing', 'Media Strategy', 'Paid Social Media', 'Social Media', 'Social Media Marketing']"
marketing,Marketing Analyst,West Shore Home,"Mechanicsburg, PA (On-site)","Mechanicsburg, PA",2 weeks ago,0,"['On-site', 'Full-time', 'Mid-Senior level']","['Data Analytics', 'Analytical Skills', 'Analytics', 'Communication', 'Critical Thinking', 'Data Analysis', 'Digital Authentication', 'Digital Media', 'Internet of Things (IoT)', 'Two-factor Authentication']"
marketing,Marketing Coordinator,Addison Group,"Herndon, VA (Hybrid)","Herndon, VA",56 applicants,$25/hr - $29/hr,"['$25/hr - $29/hr', 'Hybrid', 'Contract', 'Associate']","['Google Analytics', 'HubSpot', 'Search Engine Optimization (SEO)']"
marketing,Marketing Specialist,Career Group,"San Francisco, CA (Hybrid)","San Francisco, CA",1 week ago,"$55,000/yr - $85,000/yr","['$55K/yr - $85K/yr', 'Hybrid', 'Full-time', 'Associate']","['Adobe Illustrator', 'Adobe InDesign', 'Adobe Photoshop', 'Adobe Premiere Pro', 'Communication', 'Deadline Oriented', 'Presentations', 'Social Media', 'Social Media Marketing', 'Teamwork']"
marketing,Marketing Coordinator,Clark Hill Law,"Phoenix, AZ (Hybrid)","Phoenix, AZ",Reposted 1 week ago,"$60,000/yr - $65,000/yr (from job description)","['$60K/yr - $65K/yr', 'Hybrid', 'Full-time', 'Mid-Senior level']","['Critical Thinking', 'External Communications', 'Internal and External Communications', 'Marketing Communications', 'Media Management', 'Organization Skills', 'Social Media', 'Social Media Management', 'Thinking Skills', 'Written Correspondence']"
