search_key,job_name,company_name,job_location,location,post_time,salary,others,skills
business analyst,Business Planning Analyst (Starlink),SpaceX,"Bastrop, TX (On-site)","Bastrop, TX",Reposted 2 weeks ago,0,"['On-site\nMatches your job preferences, workplace type is On-site.', 'Full-time\nMatches your job preferences, job type is Full-time.', 'Mid-Senior level']","['Economics', 'Microsoft Excel', 'Business Planning', 'Computer Science', 'ITAR', 'Management Information Systems (MIS)', 'Presentations', 'Problem Solving', 'Program Management', 'Project Management', 'Analytical Skills', 'Data Analysis', 'Leadership', 'Microsoft Office', 'Python (Programming Language)', 'Communication', 'SQL']"
business analyst,Business Analyst,"Providence Partners, LLC","Austin, TX (On-site)","Austin, TX",2 weeks ago,$40/hr - $45/hr,"['$40/hr - $45/hr', 'On-site\nMatches your job preferences, workplace type is On-site.', 'Contract', 'Mid-Senior level']","['Microsoft Office', 'Agile Environment', 'Agile Methodologies', 'Attention to Detail', 'Business Analysis', 'Business Documentation', 'Business Process Development', 'Business Process Improvement', 'Business Requirements', 'Operating Systems', 'Systems Analysis', 'User Stories', 'Written Communication', 'Data Analysis', 'Microsoft Excel', 'Python (Programming Language)', 'Communication', 'Microsoft Power BI', 'SQL', 'Tableau']"
business analyst,Business Analyst,Texas Association of School Boards,"Austin, TX (Hybrid)","Austin, TX",3 days ago,0,"['Hybrid\nMatches your job preferences, workplace type is Hybrid.', 'Full-time\nMatches your job preferences, job type is Full-time.', 'Mid-Senior level']","['Analytical Skills', 'Business Analysis', 'Business Process', 'Business Requirements', 'Communication', 'Custom Software Development', 'Integration Projects', 'Problem Solving', 'Requirements Gathering', 'User Requirements', 'Data Analysis', 'Microsoft Excel', 'Microsoft Office', 'Python (Programming Language)', 'Agile Methodologies', 'Microsoft Power BI', 'Project Management', 'SQL', 'Tableau']"
business analyst,"Business Analyst, Amazon Fresh Grocery",Amazon,"Arlington, VA","Arlington, VA",Reposted 2 weeks ago,0,"['Full-time\nMatches your job preferences, job type is Full-time.']","['Amazon QuickSight', 'Analytical Capability', 'Analytics', 'Business Insights', 'Customer Satisfaction', 'Data Analytics', 'Data Science', 'Data Visualization', 'Defining Requirements', 'Tableau', 'Analytical Skills', 'Data Analysis', 'Microsoft Excel', 'Microsoft Office', 'Python (Programming Language)', 'Communication', 'Problem Solving', 'Project Management', 'SQL']"
business analyst,Business Immigration Analyst (Paralegal),Fragomen,"Chicago, IL (Hybrid)","Chicago, IL",2 weeks ago,0,"['Hybrid\nMatches your job preferences, workplace type is Hybrid.', 'Full-time\nMatches your job preferences, job type is Full-time.', 'Entry level']","['Client Relations', 'Client Services', 'Document Drafting', 'Employment-based Immigration', 'Global Immigration', 'Immigration', 'Immigration Law', 'Legal Document Preparation', 'Legal Writing', 'U.S. Immigration', 'Analytical Skills', 'Data Analysis', 'Leadership', 'Microsoft Excel', 'Microsoft Office', 'Communication', 'Problem Solving', 'Research Skills', 'Teamwork', 'Time Management']"
business analyst,Finance Change Business Analyst,Enstar Group,New York City Metropolitan Area (Hybrid),New York City Metropolitan Area,Reposted 1 week ago,0,"['Hybrid\nMatches your job preferences, workplace type is Hybrid.', 'Full-time\nMatches your job preferences, job type is Full-time.', 'Associate']","['Business', 'Business Analysis', 'Data Strategies', 'Finance', 'Finance Transformation', 'Financial Operations', 'Stakeholder Management', 'Strategic Thinking', 'Analytical Skills', 'Data Analysis', 'Microsoft Excel', 'Microsoft Office', 'Python (Programming Language)', 'Communication', 'Problem Solving', 'Project Management', 'SQL', 'Tableau']"
business analyst,Business Analyst,Robert Half,"The Woodlands, TX (Hybrid)","The Woodlands, TX",3 weeks ago,$40/hr - $50/hr,"['$40/hr - $50/hr', 'Hybrid\nMatches your job preferences, workplace type is Hybrid.', 'Contract', 'Associate']","['Acceptance Testing', 'Business Requirements', 'Communication', 'Mind Mapping', 'Problem Solving', 'Requirements Gathering', 'Technical Documentation', 'User Acceptance Testing', 'User Stories', 'Visio', 'Analytical Skills', 'Data Analysis', 'Microsoft Excel', 'Microsoft Office', 'Python (Programming Language)', 'Agile Methodologies', 'Project Management', 'SQL', 'Tableau']"
business analyst,Junior Business Analyst,mthree,"Tampa, FL (On-site)","Tampa, FL",1 week ago,"$45,000/yr - $50,000/yr","['$45K/yr - $50K/yr', 'On-site\nMatches your job preferences, workplace type is On-site.', 'Full-time\nMatches your job preferences, job type is Full-time.', 'Entry level']","['Microsoft Excel', 'Microsoft Office', 'Python (Programming Language)', 'Visual Basic for Applications (VBA)', 'Back Office Operations', 'Communication', 'Financial Regulations', 'Integration Testing', 'SQL', 'User Acceptance Testing', 'Analytical Skills', 'Data Analysis', 'Data Visualization', 'Microsoft Power BI', 'Problem Solving', 'Tableau']"
business analyst,Business Analyst Intern,Allison Transmission,Greater Indianapolis (On-site),Greater Indianapolis,Over 100 potential applicants,0,"['On-site\nMatches your job preferences, workplace type is On-site.', 'Full-time\nMatches your job preferences, job type is Full-time.', 'Internship']","['Analytical Skills', 'Business Analysis', 'Business Requirements', 'Computer Science', 'Data Analytics', 'IT Business Analysis', 'Meeting Planning', 'Problem Solving', 'Project Reporting', 'Project Teams', 'Data Analysis', 'Microsoft Excel', 'Python (Programming Language)', 'Communication', 'Data Visualization', 'Microsoft Power BI', 'SQL', 'Tableau']"
business analyst,Business Analyst,Tata Consultancy Services,"Frisco, TX (On-site)","Frisco, TX",Over 100 potential applicants,0,"['On-site\nMatches your job preferences, workplace type is On-site.', 'Full-time\nMatches your job preferences, job type is Full-time.', 'Mid-Senior level']","['Analytical Skills', 'Data Analysis', 'Agile Environment', 'Analytics', 'Communication', 'Data Analytics', 'Data Integration', 'Data Warehousing', 'Data Wrangling', 'Problem Solving', 'Microsoft Excel', 'Microsoft Office', 'Python (Programming Language)', 'Agile Methodologies', 'Business Analysis', 'SQL', 'Tableau']"
business analyst,Epicor Business Analyst,Adastra Resource Group,"Indiana, United States (On-site)","Indiana, United States",1 week ago,0,"['On-site\nMatches your job preferences, workplace type is On-site.', 'Full-time\nMatches your job preferences, job type is Full-time.', 'Mid-Senior level']","['E-Commerce', 'Enterprise Resource Planning (ERP)', 'Epicor', 'Quote-to-Cash', 'Analytical Skills', 'Data Analysis', 'Microsoft Excel', 'Microsoft Office', 'Agile Methodologies', 'Business Analysis', 'Communication', 'Project Management', 'SQL', 'Tableau']"
business analyst,Business Analyst - Allegro,Capco,"Houston, TX (Hybrid)","Houston, TX",Reposted 2 days ago,0,"['Hybrid\nMatches your job preferences, workplace type is Hybrid.', 'Full-time\nMatches your job preferences, job type is Full-time.', 'Mid-Senior level']","['Business Analysis', 'Business Case Development', 'Business Case Preparation', 'Business Requirements', 'Competitive Assessment', 'Customer Presentations', 'Functional Specifications', 'Process Simulation', 'Project Plans', 'User Requirements', 'Data Analysis', 'Microsoft Excel', 'Python (Programming Language)', 'Agile Methodologies', 'Communication', 'Microsoft Power BI', 'Problem Solving', 'Project Management', 'SQL', 'Tableau']"
